Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
42498909,-41.99,115.60,0.0,0.00,0.0,0.0,0.0
42605590,-42.11,117.36,0.0,0.00,0.0,0.0,0.0
42712271,-42.40,118.24,0.0,0.00,0.0,0.0,0.0
42818952,-41.88,118.24,0.0,0.00,0.0,0.0,0.0
42925633,-42.17,118.59,0.0,0.00,0.0,0.0,0.0
43032314,-42.11,120.18,0.0,0.00,0.0,0.0,0.0
43138995,-42.35,119.82,0.0,0.00,0.0,0.0,0.0
43245676,-42.35,123.87,0.0,0.00,0.0,0.0,0.0
43352357,-42.05,124.22,0.0,0.00,0.0,0.0,0.0
43459038,-40.76,114.19,0.0,0.00,0.0,0.0,0.0
43565719,-42.17,120.35,0.0,0.00,0.0,0.0,0.0
43672400,-41.29,116.48,0.0,0.00,0.0,0.0,0.0
43779081,-41.76,118.59,0.0,0.00,0.0,0.0,0.0
43885762,-40.29,113.49,0.0,0.00,0.0,0.0,0.0
43992443,-40.35,114.90,0.0,0.00,0.0,0.0,0.0
44099124,-40.35,114.90,0.0,0.00,0.0,0.0,0.0
44205805,-40.00,115.60,0.0,0.00,0.0,0.0,0.0
44312486,-40.94,118.24,0.0,0.00,0.0,0.0,0.0
44419167,-40.76,118.06,0.0,0.00,0.0,0.0,0.0
44525848,-40.53,116.83,0.0,0.00,0.0,0.0,0.0
44632529,-41.64,117.71,0.0,0.00,0.0,0.0,0.0
44739210,-41.94,124.22,0.0,0.00,0.0,0.0,0.0
44845891,-41.88,124.22,0.0,0.00,0.0,0.0,0.0
